,Game_id,Event_Num,Event_Msg_Type,Period,WC_Time,PC_Time,Action_Type,Option1,Option2,Option3,Team_id,Person1,Person2,Team_id_type,Event_Msg_Type_Description,Action_Type_Description,Team_id_check,Team_id_check2
0,021fd159b55773fba8157e2090fe0fe2,0,12,1,546427,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,6bcf6c1f8c373d25fca1579bc4464a91,6bcf6c1f8c373d25fca1579bc4464a91,0,Start Period,,,
1,021fd159b55773fba8157e2090fe0fe2,6,6,1,546886,6920,4,0,0,0,cff694c8186a4bd377de400e4f60fe47,c00264c3114d23bac482e9de50fb7d28,89706b99ddd00dc05d37ef5cafc04276,3,Foul,Offensive,cff694c8186a4bd377de400e4f60fe47,012059d397c0b7e5a30a5bb89c0b075e
2,021fd159b55773fba8157e2090fe0fe2,8,6,1,547110,6820,1,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,57bbd7e30bc694aeee9ee40c583e6811,89706b99ddd00dc05d37ef5cafc04276,2,Foul,Personal,cff694c8186a4bd377de400e4f60fe47,012059d397c0b7e5a30a5bb89c0b075e
3,021fd159b55773fba8157e2090fe0fe2,9,1,1,547220,6740,49,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,a99f44bbff39e352191a870e17f04537,881f83d2dee3f18c7d1751659406144e,2,Made Shot,Driving Dunk Shot,012059d397c0b7e5a30a5bb89c0b075e,012059d397c0b7e5a30a5bb89c0b075e
4,021fd159b55773fba8157e2090fe0fe2,10,1,1,547395,6580,1,2,0,0,cff694c8186a4bd377de400e4f60fe47,57bbd7e30bc694aeee9ee40c583e6811,c00264c3114d23bac482e9de50fb7d28,3,Made Shot,Jump Shot,cff694c8186a4bd377de400e4f60fe47,cff694c8186a4bd377de400e4f60fe47
5,021fd159b55773fba8157e2090fe0fe2,17,1,1,547782,6190,97,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,89706b99ddd00dc05d37ef5cafc04276,6bcf6c1f8c373d25fca1579bc4464a91,2,Made Shot,Tip Layup Shot,012059d397c0b7e5a30a5bb89c0b075e,
6,021fd159b55773fba8157e2090fe0fe2,19,1,1,547964,6000,1,2,0,0,cff694c8186a4bd377de400e4f60fe47,57bbd7e30bc694aeee9ee40c583e6811,307beab25b1021a548b4a47550bc4b25,3,Made Shot,Jump Shot,cff694c8186a4bd377de400e4f60fe47,cff694c8186a4bd377de400e4f60fe47
7,021fd159b55773fba8157e2090fe0fe2,22,1,1,548345,5620,1,2,0,0,cff694c8186a4bd377de400e4f60fe47,57bbd7e30bc694aeee9ee40c583e6811,6bcf6c1f8c373d25fca1579bc4464a91,3,Made Shot,Jump Shot,cff694c8186a4bd377de400e4f60fe47,
8,021fd159b55773fba8157e2090fe0fe2,23,1,1,548518,5450,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,a99f44bbff39e352191a870e17f04537,cec898a1d355dbfbad8c760615fde1af,2,Made Shot,Jump Shot,012059d397c0b7e5a30a5bb89c0b075e,012059d397c0b7e5a30a5bb89c0b075e
9,021fd159b55773fba8157e2090fe0fe2,26,1,1,548911,5060,57,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,2b313e2bcef0268bc8e9415132ba9997,6bcf6c1f8c373d25fca1579bc4464a91,2,Made Shot,Driving Hook Shot,012059d397c0b7e5a30a5bb89c0b075e,
